t,Country_s,Country_r,Industry_i,Industry_j,BT_demand,BT_supply
2,DZA,AND,services,goods,-8.313367370268491,-10.507806559006347
2,DZA,AND,services,services,-10.794881757508636,-11.497950411439472
2,DZA,DZA,goods,goods,0.32349574503255024,-1.078334073689041
2,DZA,DZA,goods,services,1.8058117961633422,-1.0090191215038145
2,DZA,DZA,services,goods,1.8058117961633422,-1.0090191215038145
2,DZA,DZA,services,services,0.6864872783173981,-1.2549077473783403
3,AFG,AFG,goods,goods,0.9244732606899735,-0.5042229129676802
3,AFG,AFG,goods,services,1.7817131123157324,-1.2887216158003476
3,AFG,AFG,services,goods,1.7817131123157324,-1.2887216158003476
3,AFG,AFG,services,services,1.5803533478540392,-0.43089393621082683
3,AFG,AGO,goods,goods,-10.28077120131853,-10.877229491615783
3,AFG,AGO,goods,services,-9.957569125993382,-10.814834538036175
3,AFG,AGO,services,goods,-10.831137914785542,-11.512305454214685
3,AFG,AGO,services,services,-10.590423538047652,-11.511302345846467
3,AFG,ALB,goods,goods,-8.00233098946789,-8.682664825405569
3,AFG,ALB,goods,services,-9.188632194496776,-10.54984201655483
3,AFG,ALB,services,goods,-8.441505508820155,-10.211268543179557
3,AFG,ALB,services,services,-9.460357048648019,-11.120350279735954
3,AFG,AND,goods,goods,-7.303499231155443,-10.394018362843525
3,AFG,AND,goods,services,-9.754354955680109,-10.613104659976303
3,AFG,AND,services,goods,-7.828131298036688,-10.674625379993854
3,AFG,AND,services,services,-10.188392288184444,-11.110790875175793
3,AFG,DZA,goods,goods,-10.61526605198071,-11.215870778261605
3,AFG,DZA,goods,services,-10.653244317017377,-11.61673547641391
3,AFG,DZA,services,goods,-11.29316313162593,-12.039159153028736
3,AFG,DZA,services,services,-11.346426840547164,-12.356412371360772
3,AGO,AGO,goods,goods,0.11146748595445001,-0.7721657626104507
3,AGO,AGO,goods,services,1.767546740695692,-1.0151966922912785
3,AGO,AGO,services,goods,1.767546740695692,-1.0151966922912785
3,AGO,AGO,services,services,0.9889508636559351,-0.6112569658174974
3,ALB,AGO,goods,goods,-8.279105638076993,-10.444386026986548
3,ALB,AGO,goods,services,-7.945768950745877,-10.507911427361151
3,ALB,AGO,services,goods,-9.302525403451362,-11.083390140146408
3,ALB,AGO,services,services,-9.064429774894602,-11.250128019088761
3,ALB,ALB,goods,goods,1.4283590184745938,-0.9565653002123543
3,ALB,ALB,goods,services,2.8574042576917047,-1.3466788215256793
3,ALB,ALB,services,goods,2.8574042576917047,-1.3466788215256793
3,ALB,ALB,services,services,1.8538431127503636,-0.6508710414379834
3,ALB,AND,goods,goods,-6.190048205638609,-9.128094461426075
3,ALB,AND,goods,services,-7.990550914506806,-9.884381336820592
3,ALB,AND,services,goods,-6.353066975256799,-9.235223448027561
3,ALB,AND,services,services,-8.59581247772528,-10.101821418974092
3,ALB,DZA,goods,goods,-9.972931349446512,-11.513029944375518
3,ALB,DZA,goods,services,-9.589207917852477,-11.561736077090286
3,ALB,DZA,services,goods,-10.988336546842184,-12.20057539437132
3,ALB,DZA,services,services,-10.819932764455395,-12.339696012041383
3,AND,AGO,goods,goods,-6.703976559859233,-9.354255718354153
3,AND,AGO,goods,services,-6.552579257114726,-9.30524387141498
3,AND,AGO,services,goods,-10.208164249969048,-10.333184274897912
3,AND,AGO,services,services,-9.8266952367525775,-10.349056235393283
3,AND,AND,goods,goods,3.362579545778067,-0.35452034033937785
3,AND,AND,goods,services,4.993496906735437,-1.0005620457287023
3,AND,AND,services,goods,4.993496906735437,-1.0005620457287023
3,AND,AND,services,services,1.2304331205336687,-0.4988600530132272
3,DZA,AGO,goods,goods,-11.896087917625213,-12.364849961668758
3,DZA,AGO,goods,services,-12.242777589746316,-12.771101474811282
3,DZA,AGO,services,goods,-12.114519385954875,-12.900691842294119
3,DZA,AGO,services,services,-12.57892269341501,-13.275045517485713
3,DZA,AND,goods,goods,-7.438618667884374,-10.06111281902814
3,DZA,AND,goods,services,-10.556941327110351,-11.273325055904873
3,DZA,AND,services,goods,-7.621176174353718,-10.407543489130985
3,DZA,AND,services,services,-10.455150137928067,-11.245492778523383
3,DZA,DZA,goods,goods,0.21054688016456932,-1.1976177981772282
3,DZA,DZA,goods,services,1.4770782490225178,-1.3325178430902802
3,DZA,DZA,services,goods,1.4770782490225178,-1.3325178430902802
3,DZA,DZA,services,services,1.0935998049628226,-1.1376953229944056
