t,Country_s,Country_r,Industry_i,Industry_j,BT_I
2,ALB,ALB,goods,services,-1.3128111152693591
2,ALB,ALB,services,goods,-1.3128111152693591
2,ALB,ALB,services,services,-0.7914033273545498
2,ALB,AND,goods,goods,-9.424781177168747
2,ALB,AND,goods,services,-10.428545036712713
2,ALB,AND,services,goods,-11.125266957750181
2,ALB,AND,services,services,-11.287934147477515
2,ALB,DZA,goods,goods,-12.233190574525436
2,ALB,DZA,goods,services,-13.682544430312076
2,ALB,DZA,services,goods,-12.6054542141095
2,ALB,DZA,services,services,-13.73486795247458
2,AND,AGO,goods,goods,-10.9364232551888
2,AND,AGO,goods,services,-12.479770156295299
2,AND,AGO,services,goods,-11.150931696254656
2,AND,AGO,services,services,-12.460774264862227
2,AND,AND,goods,goods,0.8758112282864557
2,AND,AND,goods,services,-1.242396655195964
2,AND,AND,services,goods,-1.242396655195964
2,AND,AND,services,services,-0.5593912283302818
2,DZA,AGO,goods,goods,-12.292571927883948
2,DZA,AGO,goods,services,-12.960366009870953
2,DZA,AGO,services,goods,-13.66974705503009
2,DZA,AGO,services,services,-13.867285695399048
2,DZA,AND,goods,goods,-10.642471616435653
2,DZA,AND,goods,services,-12.412962855611532
2,DZA,AND,services,goods,-12.672497108828438
2,DZA,AND,services,services,-12.874482278553199
2,DZA,DZA,goods,goods,-0.7234684170439916
2,DZA,DZA,goods,services,-1.4166393051605426
2,DZA,DZA,services,goods,-1.4166393051605426
2,DZA,DZA,services,services,-1.6366162799254693
3,AFG,AFG,goods,goods,-0.2762251686891857
3,AFG,AFG,goods,services,-1.3342780517293582
3,AFG,AFG,services,goods,-1.3342780517293582
3,AFG,AFG,services,services,-0.390428440801089
3,AFG,AGO,goods,goods,-11.548690100122956
3,AFG,AGO,goods,services,-12.542598250780465
3,AFG,AGO,services,goods,-11.714323841082917
3,AFG,AGO,services,services,-12.543824696197385
3,AFG,ALB,goods,goods,-8.264093219943717
3,AFG,ALB,goods,services,-10.604730110640638
3,AFG,ALB,services,goods,-9.780703336470921
3,AFG,ALB,services,services,-10.891057574278713
3,AFG,AND,goods,goods,-10.260281775403056
3,AFG,AND,goods,services,-10.3194541580823
3,AFG,AND,services,goods,-11.123507745861335
3,AFG,AND,services,services,-10.93889732754781
3,AFG,DZA,goods,goods,-11.883173139891126
3,AFG,DZA,goods,services,-13.56061273624315
3,AFG,DZA,services,goods,-12.644441764643346
3,AFG,DZA,services,services,-13.713157424434057
3,AGO,AGO,goods,goods,-0.33209654487853174
3,AGO,AGO,goods,services,-1.248394200886577
3,AGO,AGO,services,goods,-1.248394200886577
3,AGO,AGO,services,services,-0.7772995916070351
3,ALB,AGO,goods,goods,-10.83935618243903
3,ALB,AGO,goods,services,-11.922805577322368
3,ALB,AGO,services,goods,-11.10605291511407
3,ALB,AGO,services,services,-12.057130314164473
3,ALB,ALB,goods,goods,-0.4262604979766816
3,ALB,ALB,goods,services,-1.3301163814143306
3,ALB,ALB,services,goods,-1.3301163814143306
3,ALB,ALB,services,services,-0.53321182857745
3,ALB,AND,goods,goods,-9.196658556427277
3,ALB,AND,goods,services,-9.767821196287015
3,ALB,AND,services,goods,-10.364936221420823
3,ALB,AND,services,services,-10.429988770811084
3,ALB,DZA,goods,goods,-11.837020796412107
3,ALB,DZA,goods,services,-12.776028604775345
3,ALB,DZA,services,goods,-12.18766559797429
3,ALB,DZA,services,services,-12.893343364767542
3,AND,AGO,goods,goods,-11.27131776951934
3,AND,AGO,goods,services,-12.329980929541351
3,AND,AGO,services,goods,-11.111103231148448
3,AND,AGO,services,services,-12.129294194028683
3,AND,AND,goods,goods,1.5097966635066842
3,AND,AND,goods,services,-1.1375204554917406
3,AND,AND,services,goods,-1.1375204554917406
3,AND,AND,services,services,-0.5354947613757493
3,DZA,AGO,goods,goods,-12.206002698069195
3,DZA,AGO,goods,services,-12.86693898754436
3,DZA,AGO,services,goods,-13.236757188186823
3,DZA,AGO,services,services,-13.49879256938838
3,DZA,AND,goods,goods,-10.567809579725841
3,DZA,AND,goods,services,-12.091085023391878
3,DZA,AND,services,goods,-12.192432807447096
3,DZA,AND,services,services,-11.971578182717808
3,DZA,DZA,goods,goods,-1.0881309978037101
3,DZA,DZA,goods,services,-1.6953601148408266
3,DZA,DZA,services,goods,-1.6953601148408266
3,DZA,DZA,services,services,-1.4253108127658085
