Year,Country_s,Country_r,Industry_i,Industry_j,VAD_s_i,VAD_r_j
1992,ALB,AGO,goods,goods,216444.197952,2052507.05604
1992,ALB,AGO,goods,services,216444.197952,10426703.5846
1992,ALB,AGO,services,goods,827691.25051,2052507.05604
1992,ALB,AGO,services,services,827691.25051,10426703.5846
1992,DZA,DZA,goods,goods,10097297.06656,10097297.06656
1992,DZA,DZA,goods,services,10097297.06656,42129837.3359
1992,DZA,DZA,services,goods,42129837.3359,10097297.06656
1992,DZA,DZA,services,services,42129837.3359,42129837.3359
1992,DZA,AND,goods,goods,10097297.06656,85882.010481
1992,DZA,AND,goods,services,10097297.06656,1084859.687111
1992,DZA,AND,services,goods,42129837.3359,85882.010481
1992,DZA,AND,services,services,42129837.3359,1084859.687111
1992,DZA,AGO,goods,goods,10097297.06656,2052507.05604
1992,DZA,AGO,goods,services,10097297.06656,10426703.5846
1992,DZA,AGO,services,goods,42129837.3359,2052507.05604
1992,DZA,AGO,services,services,42129837.3359,10426703.5846
1992,AND,AND,goods,goods,85882.010481,85882.010481
1992,AND,AND,goods,services,85882.010481,1084859.687111
1992,AND,AND,services,goods,1084859.687111,85882.010481
1992,AND,AND,services,services,1084859.687111,1084859.687111
1992,AND,AGO,goods,goods,85882.010481,2052507.05604
1992,AND,AGO,goods,services,85882.010481,10426703.5846
1992,AND,AGO,services,goods,1084859.687111,2052507.05604
1992,AND,AGO,services,services,1084859.687111,10426703.5846
1992,AGO,AGO,goods,goods,2052507.05604,2052507.05604
1992,AGO,AGO,goods,services,2052507.05604,10426703.5846
1992,AGO,AGO,services,goods,10426703.5846,2052507.05604
1992,AGO,AGO,services,services,10426703.5846,10426703.5846
1993,AFG,AFG,goods,goods,475668.39562,475668.39562
1993,AFG,AFG,goods,services,475668.39562,1529752.5861199999
1993,AFG,AFG,services,goods,1529752.5861199999,475668.39562
1993,AFG,AFG,services,services,1529752.5861199999,1529752.5861199999
1993,AFG,ALB,goods,goods,475668.39562,249965.1501
1993,AFG,ALB,goods,services,475668.39562,1183853.38406
1993,AFG,ALB,services,goods,1529752.5861199999,249965.1501
1993,AFG,ALB,services,services,1529752.5861199999,1183853.38406
1993,AFG,DZA,goods,goods,475668.39562,10587633.76503
1993,AFG,DZA,goods,services,475668.39562,45138556.8175
1993,AFG,DZA,services,goods,1529752.5861199999,10587633.76503
1993,AFG,DZA,services,services,1529752.5861199999,45138556.8175
1993,AFG,AND,goods,goods,475668.39562,74205.856485
1993,AFG,AND,goods,services,475668.39562,913317.8527429999
1993,AFG,AND,services,goods,1529752.5861199999,74205.856485
1993,AFG,AND,services,services,1529752.5861199999,913317.8527429999
1993,AFG,AGO,goods,goods,475668.39562,1607918.3068
1993,AFG,AGO,goods,services,475668.39562,8028599.3858
1993,AFG,AGO,services,goods,1529752.5861199999,1607918.3068
1993,AFG,AGO,services,services,1529752.5861199999,8028599.3858
1993,ALB,ALB,goods,goods,249965.1501,249965.1501
1993,ALB,ALB,goods,services,249965.1501,1183853.38406
1993,ALB,ALB,services,goods,1183853.38406,249965.1501
1993,ALB,ALB,services,services,1183853.38406,1183853.38406
1993,ALB,DZA,goods,goods,249965.1501,10587633.76503
1993,ALB,DZA,goods,services,249965.1501,45138556.8175
1993,ALB,DZA,services,goods,1183853.38406,10587633.76503
1993,ALB,DZA,services,services,1183853.38406,45138556.8175
1993,ALB,AND,goods,goods,249965.1501,74205.856485
1993,ALB,AND,goods,services,249965.1501,913317.8527429999
1993,ALB,AND,services,goods,1183853.38406,74205.856485
1993,ALB,AND,services,services,1183853.38406,913317.8527429999
1993,ALB,AGO,goods,goods,249965.1501,1607918.3068
1993,ALB,AGO,goods,services,249965.1501,8028599.3858
1993,ALB,AGO,services,goods,1183853.38406,1607918.3068
1993,ALB,AGO,services,services,1183853.38406,8028599.3858
1993,DZA,DZA,goods,goods,10587633.76503,10587633.76503
1993,DZA,DZA,goods,services,10587633.76503,45138556.8175
1993,DZA,DZA,services,goods,45138556.8175,10587633.76503
1993,DZA,DZA,services,services,45138556.8175,45138556.8175
1993,DZA,AND,goods,goods,10587633.76503,74205.856485
1993,DZA,AND,goods,services,10587633.76503,913317.8527429999
1993,DZA,AND,services,goods,45138556.8175,74205.856485
1993,DZA,AND,services,services,45138556.8175,913317.8527429999
1993,DZA,AGO,goods,goods,10587633.76503,1607918.3068
1993,DZA,AGO,goods,services,10587633.76503,8028599.3858
1993,DZA,AGO,services,goods,45138556.8175,1607918.3068
1993,DZA,AGO,services,services,45138556.8175,8028599.3858
1993,AND,AND,goods,goods,74205.856485,74205.856485
1993,AND,AND,goods,services,74205.856485,913317.8527429999
1993,AND,AND,services,goods,913317.8527429999,74205.856485
1993,AND,AND,services,services,913317.8527429999,913317.8527429999
1993,AND,AGO,goods,goods,74205.856485,1607918.3068
1993,AND,AGO,goods,services,74205.856485,8028599.3858
1993,AND,AGO,services,goods,913317.8527429999,1607918.3068
1993,AND,AGO,services,services,913317.8527429999,8028599.3858
1993,AGO,AGO,goods,goods,1607918.3068,1607918.3068
1993,AGO,AGO,goods,services,1607918.3068,8028599.3858
1993,AGO,AGO,services,goods,8028599.3858,1607918.3068
1993,AGO,AGO,services,services,8028599.3858,8028599.3858
1994,AFG,AFG,goods,goods,365617.324991,365617.324991
1994,AFG,AFG,goods,services,365617.324991,1235784.88397
1994,AFG,AFG,services,goods,1235784.88397,365617.324991
1994,AFG,AFG,services,services,1235784.88397,1235784.88397
1994,AFG,ALB,goods,goods,365617.324991,261210.476111
1994,AFG,ALB,goods,services,365617.324991,1359649.58177
1994,AFG,ALB,services,goods,1235784.88397,261210.476111
1994,AFG,ALB,services,services,1235784.88397,1359649.58177
1994,AFG,DZA,goods,goods,365617.324991,8966706.46044
1994,AFG,DZA,goods,services,365617.324991,37565812.2393
1994,AFG,DZA,services,goods,1235784.88397,8966706.46044
1994,AFG,DZA,services,services,1235784.88397,37565812.2393
1994,AFG,AND,goods,goods,365617.324991,74098.515394
1994,AFG,AND,goods,services,365617.324991,895723.560653
1994,AFG,AND,services,goods,1235784.88397,74098.515394
1994,AFG,AND,services,services,1235784.88397,895723.560653
1994,AFG,AGO,goods,goods,365617.324991,1625684.62394
1994,AFG,AGO,goods,services,365617.324991,7994383.365900001
1994,AFG,AGO,services,goods,1235784.88397,1625684.62394
1994,AFG,AGO,services,services,1235784.88397,7994383.365900001
1994,ALB,ALB,goods,goods,261210.476111,261210.476111
1994,ALB,ALB,goods,services,261210.476111,1359649.58177
1994,ALB,ALB,services,goods,1359649.58177,261210.476111
1994,ALB,ALB,services,services,1359649.58177,1359649.58177
1994,ALB,DZA,goods,goods,261210.476111,8966706.46044
1994,ALB,DZA,goods,services,261210.476111,37565812.2393
1994,ALB,DZA,services,goods,1359649.58177,8966706.46044
1994,ALB,DZA,services,services,1359649.58177,37565812.2393
1994,ALB,AND,goods,goods,261210.476111,74098.515394
1994,ALB,AND,goods,services,261210.476111,895723.560653
1994,ALB,AND,services,goods,1359649.58177,74098.515394
1994,ALB,AND,services,services,1359649.58177,895723.560653
1994,ALB,AGO,goods,goods,261210.476111,1625684.62394
1994,ALB,AGO,goods,services,261210.476111,7994383.365900001
1994,ALB,AGO,services,goods,1359649.58177,1625684.62394
1994,ALB,AGO,services,services,1359649.58177,7994383.365900001
1994,DZA,DZA,goods,goods,8966706.46044,8966706.46044
1994,DZA,DZA,goods,services,8966706.46044,37565812.2393
1994,DZA,DZA,services,goods,37565812.2393,8966706.46044
1994,DZA,DZA,services,services,37565812.2393,37565812.2393
1994,DZA,AND,goods,goods,8966706.46044,74098.515394
1994,DZA,AND,goods,services,8966706.46044,895723.560653
1994,DZA,AND,services,goods,37565812.2393,74098.515394
1994,DZA,AND,services,services,37565812.2393,895723.560653
1994,DZA,AGO,goods,goods,8966706.46044,1625684.62394
1994,DZA,AGO,goods,services,8966706.46044,7994383.365900001
1994,DZA,AGO,services,goods,37565812.2393,1625684.62394
1994,DZA,AGO,services,services,37565812.2393,7994383.365900001
1994,AND,AND,goods,goods,74098.515394,74098.515394
1994,AND,AND,goods,services,74098.515394,895723.560653
1994,AND,AND,services,goods,895723.560653,74098.515394
1994,AND,AND,services,services,895723.560653,895723.560653
1994,AND,AGO,goods,goods,74098.515394,1625684.62394
1994,AND,AGO,goods,services,74098.515394,7994383.365900001
1994,AND,AGO,services,goods,895723.560653,1625684.62394
1994,AND,AGO,services,services,895723.560653,7994383.365900001
1994,AGO,AGO,goods,goods,1625684.62394,1625684.62394
1994,AGO,AGO,goods,services,1625684.62394,7994383.365900001
1994,AGO,AGO,services,goods,7994383.365900001,1625684.62394
1994,AGO,AGO,services,services,7994383.365900001,7994383.365900001
1995,AFG,AFG,goods,goods,543572.271549,543572.271549
1995,AFG,AFG,goods,services,543572.271549,2091769.87244
1995,AFG,AFG,services,goods,2091769.87244,543572.271549
1995,AFG,AFG,services,services,2091769.87244,2091769.87244
1995,AFG,ALB,goods,goods,543572.271549,313362.92614399997
1995,AFG,ALB,goods,services,543572.271549,1806667.84612
1995,AFG,ALB,services,goods,2091769.87244,313362.92614399997
1995,AFG,ALB,services,services,2091769.87244,1806667.84612
1995,AFG,DZA,goods,goods,543572.271549,9007184.88904
1995,AFG,DZA,goods,services,543572.271549,36866905.9906
1995,AFG,DZA,services,goods,2091769.87244,9007184.88904
1995,AFG,DZA,services,services,2091769.87244,36866905.9906
1995,AFG,AND,goods,goods,543572.271549,88247.996132
1995,AFG,AND,goods,services,543572.271549,1018841.454288
1995,AFG,AND,services,goods,2091769.87244,88247.996132
1995,AFG,AND,services,services,2091769.87244,1018841.454288
1995,AFG,AGO,goods,goods,543572.271549,803134.651728
1995,AFG,AGO,goods,services,543572.271549,3852408.6798400003
1995,AFG,AGO,services,goods,2091769.87244,803134.651728
1995,AFG,AGO,services,services,2091769.87244,3852408.6798400003
1995,ALB,ALB,goods,goods,313362.92614399997,313362.92614399997
1995,ALB,ALB,goods,services,313362.92614399997,1806667.84612
1995,ALB,ALB,services,goods,1806667.84612,313362.92614399997
1995,ALB,ALB,services,services,1806667.84612,1806667.84612
1995,ALB,DZA,goods,goods,313362.92614399997,9007184.88904
1995,ALB,DZA,goods,services,313362.92614399997,36866905.9906
1995,ALB,DZA,services,goods,1806667.84612,9007184.88904
1995,ALB,DZA,services,services,1806667.84612,36866905.9906
1995,ALB,AND,goods,goods,313362.92614399997,88247.996132
1995,ALB,AND,goods,services,313362.92614399997,1018841.454288
1995,ALB,AND,services,goods,1806667.84612,88247.996132
1995,ALB,AND,services,services,1806667.84612,1018841.454288
1995,ALB,AGO,goods,goods,313362.92614399997,803134.651728
1995,ALB,AGO,goods,services,313362.92614399997,3852408.6798400003
1995,ALB,AGO,services,goods,1806667.84612,803134.651728
1995,ALB,AGO,services,services,1806667.84612,3852408.6798400003
1995,DZA,DZA,goods,goods,9007184.88904,9007184.88904
1995,DZA,DZA,goods,services,9007184.88904,36866905.9906
1995,DZA,DZA,services,goods,36866905.9906,9007184.88904
1995,DZA,DZA,services,services,36866905.9906,36866905.9906
1995,DZA,AND,goods,goods,9007184.88904,88247.996132
1995,DZA,AND,goods,services,9007184.88904,1018841.454288
1995,DZA,AND,services,goods,36866905.9906,88247.996132
1995,DZA,AND,services,services,36866905.9906,1018841.454288
1995,DZA,AGO,goods,goods,9007184.88904,803134.651728
1995,DZA,AGO,goods,services,9007184.88904,3852408.6798400003
1995,DZA,AGO,services,goods,36866905.9906,803134.651728
1995,DZA,AGO,services,services,36866905.9906,3852408.6798400003
1995,AND,AND,goods,goods,88247.996132,88247.996132
1995,AND,AND,goods,services,88247.996132,1018841.454288
1995,AND,AND,services,goods,1018841.454288,88247.996132
1995,AND,AND,services,services,1018841.454288,1018841.454288
1995,AND,AGO,goods,goods,88247.996132,803134.651728
1995,AND,AGO,goods,services,88247.996132,3852408.6798400003
1995,AND,AGO,services,goods,1018841.454288,803134.651728
1995,AND,AGO,services,services,1018841.454288,3852408.6798400003
1995,AGO,AGO,goods,goods,803134.651728,803134.651728
1995,AGO,AGO,goods,services,803134.651728,3852408.6798400003
1995,AGO,AGO,services,goods,3852408.6798400003,803134.651728
1995,AGO,AGO,services,services,3852408.6798400003,3852408.6798400003
1996,AFG,AFG,goods,goods,528612.92577,528612.92577
1996,AFG,AFG,goods,services,528612.92577,2068370.07708
1996,AFG,AFG,services,goods,2068370.07708,528612.92577
1996,AFG,AFG,services,services,2068370.07708,2068370.07708
1996,AFG,ALB,goods,goods,528612.92577,399947.481693
1996,AFG,ALB,goods,services,528612.92577,2521118.6633
1996,AFG,ALB,services,goods,2068370.07708,399947.481693
1996,AFG,ALB,services,services,2068370.07708,2521118.6633
1996,AFG,DZA,goods,goods,528612.92577,9971796.69296
1996,AFG,DZA,goods,services,528612.92577,40120417.002
1996,AFG,DZA,services,goods,2068370.07708,9971796.69296
1996,AFG,DZA,services,services,2068370.07708,40120417.002
1996,AFG,AND,goods,goods,528612.92577,96277.484346
1996,AFG,AND,goods,services,528612.92577,1038866.625438
1996,AFG,AND,services,goods,2068370.07708,96277.484346
1996,AFG,AND,services,services,2068370.07708,1038866.625438
1996,AFG,AGO,goods,goods,528612.92577,949766.46548
1996,AFG,AGO,goods,services,528612.92577,4618317.75
1996,AFG,AGO,services,goods,2068370.07708,949766.46548
1996,AFG,AGO,services,services,2068370.07708,4618317.75
1996,ALB,ALB,goods,goods,399947.481693,399947.481693
1996,ALB,ALB,goods,services,399947.481693,2521118.6633
1996,ALB,ALB,services,goods,2521118.6633,399947.481693
1996,ALB,ALB,services,services,2521118.6633,2521118.6633
1996,ALB,DZA,goods,goods,399947.481693,9971796.69296
1996,ALB,DZA,goods,services,399947.481693,40120417.002
1996,ALB,DZA,services,goods,2521118.6633,9971796.69296
1996,ALB,DZA,services,services,2521118.6633,40120417.002
1996,ALB,AND,goods,goods,399947.481693,96277.484346
1996,ALB,AND,goods,services,399947.481693,1038866.625438
1996,ALB,AND,services,goods,2521118.6633,96277.484346
1996,ALB,AND,services,services,2521118.6633,1038866.625438
1996,ALB,AGO,goods,goods,399947.481693,949766.46548
1996,ALB,AGO,goods,services,399947.481693,4618317.75
1996,ALB,AGO,services,goods,2521118.6633,949766.46548
1996,ALB,AGO,services,services,2521118.6633,4618317.75
1996,DZA,DZA,goods,goods,9971796.69296,9971796.69296
1996,DZA,DZA,goods,services,9971796.69296,40120417.002
1996,DZA,DZA,services,goods,40120417.002,9971796.69296
1996,DZA,DZA,services,services,40120417.002,40120417.002
1996,DZA,AND,goods,goods,9971796.69296,96277.484346
1996,DZA,AND,goods,services,9971796.69296,1038866.625438
1996,DZA,AND,services,goods,40120417.002,96277.484346
1996,DZA,AND,services,services,40120417.002,1038866.625438
1996,DZA,AGO,goods,goods,9971796.69296,949766.46548
1996,DZA,AGO,goods,services,9971796.69296,4618317.75
1996,DZA,AGO,services,goods,40120417.002,949766.46548
1996,DZA,AGO,services,services,40120417.002,4618317.75
1996,AND,AND,goods,goods,96277.484346,96277.484346
1996,AND,AND,goods,services,96277.484346,1038866.625438
1996,AND,AND,services,goods,1038866.625438,96277.484346
1996,AND,AND,services,services,1038866.625438,1038866.625438
1996,AND,AGO,goods,goods,96277.484346,949766.46548
1996,AND,AGO,goods,services,96277.484346,4618317.75
1996,AND,AGO,services,goods,1038866.625438,949766.46548
1996,AND,AGO,services,services,1038866.625438,4618317.75
1996,AGO,AGO,goods,goods,949766.46548,949766.46548
1996,AGO,AGO,goods,services,949766.46548,4618317.75
1996,AGO,AGO,services,goods,4618317.75,949766.46548
1996,AGO,AGO,services,services,4618317.75,4618317.75
1997,AFG,AFG,goods,goods,514333.488506,514333.488506
1997,AFG,AFG,goods,services,514333.488506,2069285.7185199999
1997,AFG,AFG,services,goods,2069285.7185199999,514333.488506
1997,AFG,AFG,services,services,2069285.7185199999,2069285.7185199999
1997,AFG,ALB,goods,goods,514333.488506,271855.735142
1997,AFG,ALB,goods,services,514333.488506,1763151.6504900001
1997,AFG,ALB,services,goods,2069285.7185199999,271855.735142
1997,AFG,ALB,services,services,2069285.7185199999,1763151.6504900001
1997,AFG,DZA,goods,goods,514333.488506,10233756.98373
1997,AFG,DZA,goods,services,514333.488506,40950451.7549
1997,AFG,DZA,services,goods,2069285.7185199999,10233756.98373
1997,AFG,DZA,services,services,2069285.7185199999,40950451.7549
1997,AFG,AND,goods,goods,514333.488506,98505.290444
1997,AFG,AND,goods,services,514333.488506,962058.195032
1997,AFG,AND,services,goods,2069285.7185199999,98505.290444
1997,AFG,AND,services,services,2069285.7185199999,962058.195032
1997,AFG,AGO,goods,goods,514333.488506,1226736.11611
1997,AFG,AGO,goods,services,514333.488506,6268949.075
1997,AFG,AGO,services,goods,2069285.7185199999,1226736.11611
1997,AFG,AGO,services,services,2069285.7185199999,6268949.075
1997,ALB,ALB,goods,goods,271855.735142,271855.735142
1997,ALB,ALB,goods,services,271855.735142,1763151.6504900001
1997,ALB,ALB,services,goods,1763151.6504900001,271855.735142
1997,ALB,ALB,services,services,1763151.6504900001,1763151.6504900001
1997,ALB,DZA,goods,goods,271855.735142,10233756.98373
1997,ALB,DZA,goods,services,271855.735142,40950451.7549
1997,ALB,DZA,services,goods,1763151.6504900001,10233756.98373
1997,ALB,DZA,services,services,1763151.6504900001,40950451.7549
1997,ALB,AND,goods,goods,271855.735142,98505.290444
1997,ALB,AND,goods,services,271855.735142,962058.195032
1997,ALB,AND,services,goods,1763151.6504900001,98505.290444
1997,ALB,AND,services,services,1763151.6504900001,962058.195032
1997,ALB,AGO,goods,goods,271855.735142,1226736.11611
1997,ALB,AGO,goods,services,271855.735142,6268949.075
1997,ALB,AGO,services,goods,1763151.6504900001,1226736.11611
1997,ALB,AGO,services,services,1763151.6504900001,6268949.075
1997,DZA,DZA,goods,goods,10233756.98373,10233756.98373
1997,DZA,DZA,goods,services,10233756.98373,40950451.7549
1997,DZA,DZA,services,goods,40950451.7549,10233756.98373
1997,DZA,DZA,services,services,40950451.7549,40950451.7549
1997,DZA,AND,goods,goods,10233756.98373,98505.290444
1997,DZA,AND,goods,services,10233756.98373,962058.195032
1997,DZA,AND,services,goods,40950451.7549,98505.290444
1997,DZA,AND,services,services,40950451.7549,962058.195032
1997,DZA,AGO,goods,goods,10233756.98373,1226736.11611
1997,DZA,AGO,goods,services,10233756.98373,6268949.075
1997,DZA,AGO,services,goods,40950451.7549,1226736.11611
1997,DZA,AGO,services,services,40950451.7549,6268949.075
1997,AND,AND,goods,goods,98505.290444,98505.290444
1997,AND,AND,goods,services,98505.290444,962058.195032
1997,AND,AND,services,goods,962058.195032,98505.290444
1997,AND,AND,services,services,962058.195032,962058.195032
1997,AND,AGO,goods,goods,98505.290444,1226736.11611
1997,AND,AGO,goods,services,98505.290444,6268949.075
1997,AND,AGO,services,goods,962058.195032,1226736.11611
1997,AND,AGO,services,services,962058.195032,6268949.075
